customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
DC4Y1MMA;DealerQuoteSizeTenor4y1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC4Y2MMA;DealerQuoteSizeTenor4y2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
4YQuotesCount;QuoteSizeTenor4y;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;4Y;nvarchar(50);Listing;
QC4Y1WMA;QuoteSizeTenor4y1w;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC4Y1MMA;QuoteSizeTenor4y1m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC4Y2MMA;QuoteSizeTenor4y2m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODUpf5YMid;UpfrontValueMid5y;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;5Y;nvarchar(50);Listing;
Upf5YBASpread;UpfrontBidAskSpread5y;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;5Y;nvarchar(50);Listing;
Upf5YBA1WMA;UpfrontBidAskSpread5y1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf5YBA1MMA;UpfrontBidAskSpread5y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf5YBA2MMA;UpfrontBidAskSpread5y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
