customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
Trace Sector Trade Volume 30 Day,SectorVolume30Days,,BigInteger,dbo,LastPriceTurnover,SectorVolume30Days,,,,,Listing,
Trace Sector Trade Volume 60 Day,SectorVolume60Days,,BigInteger,dbo,LastPriceTurnover,SectorVolume60Days,,,,,Listing,
Trace Sector Trade Volume 90 Day,SectorVolume90Days,,BigInteger,dbo,LastPriceTurnover,SectorVolume90Days,,,,,Listing,
Trace Trade Count 1 Day,TradeSize,,int,dbo,LastPrice,TradeSize,,,,,Listing,
Trace Trade Count 10 Day,TradeSize10Days,,int,dbo,LastPriceTurnover,TradeSize10Days,,,,,Listing,
Trace Trade Count 30 Day,TradeSize30Days,,int,dbo,LastPriceTurnover,TradeSize30Days,,,,,Listing,
Trace Trade Count 60 Day,TradeSize60Days,,int,dbo,LastPriceTurnover,TradeSize60Days,,,,,Listing,
Trace Trade Count 90 Day,TradeSize90Days,,int,dbo,LastPriceTurnover,TradeSize90Days,,,,,Listing,
Trace Trade Volume 1 Day,Volume,,BigInteger,dbo,LastPrice,Volume,,,,,Listing,
Trace Trade Volume 10 Day,Volume10Days,,BigInteger,dbo,LastPriceTurnover,Volume10Days,,,,,Listing,
Trace Trade Volume 30 Day,Volume30Days,,BigInteger,dbo,LastPriceTurnover,Volume30Days,,,,,Listing,
Trace Trade Volume 60 Day,Volume60Days,,BigInteger,dbo,LastPriceTurnover,Volume60Days,,,,,Listing,
Trace Trade Volume 90 Day,Volume90Days,,BigInteger,dbo,LastPriceTurnover,Volume90Days,,,,,Listing,
Trace Last Trade Lot Date,TradeLotDate,,date,dbo,LastPrice,TradeLotDate,,,,,Listing,
Set Id,CurveSymbol,,nvarchar(50),dbo,Curve,Symbol,,,,,Listing,
Actual CDS-Bond Basis Mid,CdsBondBasisAverage,,decimal(21.6),dbo,Instrument,CdsBondBasisAverage,,,,,,
Actual IMM CDS-Bond Basis,CdsBondBasisImm,,decimal(21.6),dbo,Instrument,CdsBondBasisImm,,,,,,
CDS-Bond Basis asof,CdsBondBasisDate,,date,dbo,Instrument,CdsBondBasisDate,,,,,,
3M,MaturityDate3m,,date,dbo,Curve,MaturityDate,Tenor,Code,3M,nvarchar(3),Listing,
3MYTM,YieldToMaturity3m,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,3M,nvarchar(3),Listing,
6M,MaturityDate6m,,date,dbo,Curve,MaturityDate,Tenor,Code,6M,nvarchar(3),Listing,
6MYTM,YieldToMaturity6m,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,6M,nvarchar(3),Listing,
1Y,MaturityDate1y,,date,dbo,Curve,MaturityDate,Tenor,Code,1Y,nvarchar(3),Listing,
1YYTM,YieldToMaturity1y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,1Y,nvarchar(3),Listing,
2Y,MaturityDate2y,,date,dbo,Curve,MaturityDate,Tenor,Code,2Y,nvarchar(3),Listing,
2YYTM,YieldToMaturity2y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,2Y,nvarchar(3),Listing,
3Y,MaturityDate3y,,date,dbo,Curve,MaturityDate,Tenor,Code,3Y,nvarchar(3),Listing,
3YYTM,YieldToMaturity3y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,3Y,nvarchar(3),Listing,
4Y,MaturityDate4y,,date,dbo,Curve,MaturityDate,Tenor,Code,4Y,nvarchar(3),Listing,
4YYTM,YieldToMaturity4y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,4Y,nvarchar(3),Listing,
5Y,MaturityDate5y,,date,dbo,Curve,MaturityDate,Tenor,Code,5Y,nvarchar(3),Listing,
5YYTM,YieldToMaturity5y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,5Y,nvarchar(3),Listing,
6Y,MaturityDate6y,,date,dbo,Curve,MaturityDate,Tenor,Code,6Y,nvarchar(3),Listing,
6YYTM,YieldToMaturity6y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,6Y,nvarchar(3),Listing,
7Y,MaturityDate7y,,date,dbo,Curve,MaturityDate,Tenor,Code,7Y,nvarchar(3),Listing,
7YYTM,YieldToMaturity7y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,7Y,nvarchar(3),Listing,
8Y,MaturityDate8y,,date,dbo,Curve,MaturityDate,Tenor,Code,8Y,nvarchar(3),Listing,
8YYTM,YieldToMaturity8y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,8Y,nvarchar(3),Listing,
9Y,MaturityDate9y,,date,dbo,Curve,MaturityDate,Tenor,Code,9Y,nvarchar(3),Listing,
9YYTM,YieldToMaturity9y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,9Y,nvarchar(3),Listing,
10Y,MaturityDate10y,,date,dbo,Curve,MaturityDate,Tenor,Code,10Y,nvarchar(3),Listing,
10YYTM,YieldToMaturity10y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,10Y,nvarchar(3),Listing,
15Y,MaturityDate15y,,date,dbo,Curve,MaturityDate,Tenor,Code,15Y,nvarchar(3),Listing,
15YYTM,YieldToMaturity15y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,15Y,nvarchar(3),Listing,
20Y,MaturityDate20y,,date,dbo,Curve,MaturityDate,Tenor,Code,20Y,nvarchar(3),Listing,
20YYTM,YieldToMaturity20y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,20Y,nvarchar(3),Listing,
25Y,MaturityDate25y,,date,dbo,Curve,MaturityDate,Tenor,Code,25Y,nvarchar(3),Listing,
25YYTM,YieldToMaturity25y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,25Y,nvarchar(3),Listing,
30Y,MaturityDate30y,,date,dbo,Curve,MaturityDate,Tenor,Code,30Y,nvarchar(3),Listing,
30YYTM,YieldToMaturity30y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,30Y,nvarchar(3),Listing,
40Y,MaturityDate40y,,date,dbo,Curve,MaturityDate,Tenor,Code,40Y,nvarchar(3),Listing,
40YYTM,YieldToMaturity40y,,decimal(21.6),dbo,Curve,YieldToMaturity,Tenor,Code,40Y,nvarchar(3),Listing,
Product Type,ClassificationCode,,nvarchar(50),dbo,Classification,Code,ClassificationType,Name,Product Type,nvarchar(6),InstrumentClassification,
